No.,x,y,z
0,-0.265311,0.395284,-2.58175
1,0.387776,0.238403,-2.80985
2,0.387777,0.238402,-2.80985
3,-0.0849684,0.616612,-2.58782
4,-0.062343,0.63445,-2.59057
5,-1.99808,0.369576,-1.68853
6,-1.95383,-0.0193378,-1.6226
7,-0.949651,-0.320441,-1.99179
8,0.0857359,1.75898,-2.49029
9,-1.08502,1.27147,-1.99201
10,105.129,22.4704,-45.1109
11,-0.760929,0.499667,-2.01987
12,-1.14785,0.256227,-1.84665
13,-0.711185,0.758274,-1.99615
14,-0.698658,0.262187,-1.96965
15,-0.288215,0.323648,-2.08826
16,-0.0642089,0.415778,-2.17231
17,-0.249873,0.765584,-2.11678
18,-1.09217,1.00461,-1.79242
19,-1.12395,0.188567,-1.72642
20,0.172151,0.230502,-2.21523
21,0.726002,1.09854,-2.45337
22,-1.45901,0.270637,-1.53672
23,-0.702923,0.451645,-1.77511
24,-1.4428,-0.183284,-1.43378
25,0.234711,0.179916,-2.08838
26,-0.822747,-0.0348863,-1.65115
27,1.06743,1.02976,-2.41716
28,-0.97563,-0.117052,-1.53407
29,-1.06801,1.00433,-1.56445
30,0.195198,0.627256,-2.02325
31,0.207438,0.461681,-2.01472
32,-0.879128,0.123677,-1.55608
33,-0.490918,-0.0731653,-1.68091
34,-0.727064,0.391386,-1.58894
35,0.597929,0.0601539,-2.08758
36,-2.12807,3.30767,-1.18974
37,0.393066,1.38572,-1.99732
38,-1.16652,-0.236316,-1.24911
39,-0.730894,0.130288,-1.38438
40,-0.490485,0.422536,-1.40628
41,0.528359,0.449765,-1.793
42,-0.265289,0.768167,-1.49636
43,-0.0420731,0.498194,-1.56557
44,1.07828,0.166802,-1.93681
45,1.93942,0.187603,-2.21876
46,1.63243,-0.330139,-2.06525
47,1.69691,-0.526061,-2.03456
48,0.644818,0.246841,-1.63288
49,0.103135,0.592196,-1.43296
50,-0.151594,-0.381362,-1.19937
51,0.503606,1.42006,-1.56405
52,0.881161,0.913722,-1.64136
53,0.84173,0.488252,-1.57499
54,-0.01327,0.367018,-1.21324
55,-0.700062,0.549127,-0.92779
56,2.57104,6.59319,-2.54626
57,0.554613,0.678647,-1.36859
58,-9.96555,-4.3323,3.08789
59,0.10748,0.816668,-1.1043
60,0.181297,0.752116,-1.09757
61,0.760677,0.740098,-1.27755
62,0.0296429,1.77489,-0.998871
63,0.46354,-1.50973,-0.939839
64,-0.210144,1.56769,-0.853506
65,0.289072,0.489754,-0.966781
66,-0.350417,1.32607,-0.739885
67,0.304215,1.45625,-0.982602
68,1.88527,-0.729736,-1.44668
69,1.24293,-0.923537,-1.12998
70,0.222581,1.46476,-0.840267
71,-0.0939156,1.57196,-0.701849
72,0.270427,1.48712,-0.795465
73,0.237836,1.50032,-0.765996
74,0.532549,1.16905,-0.849654
75,0.450428,1.49538,-0.786963
76,0.0846512,1.36715,-0.626566
77,0.293479,1.47764,-0.696899
78,0.295511,1.46361,-0.672945
79,0.60105,1.50759,-0.782749
80,0.236285,1.4993,-0.637836
81,0.266368,1.46079,-0.638638
82,0.285314,1.48147,-0.643624
83,0.30616,1.47356,-0.648744
84,0.314912,1.47619,-0.648238
85,0.833454,1.84324,-0.873586
86,0.849162,0.810173,-0.813033
87,0.285067,1.46903,-0.629306
88,0.358557,1.73951,-0.666818
89,0.292989,1.4791,-0.609044
90,0.311992,1.47331,-0.614885
91,0.314571,1.47558,-0.609549
92,0.330435,1.46576,-0.608647
93,0.311169,1.47375,-0.598283
94,0.33362,1.47246,-0.599512
95,0.352198,1.47172,-0.605638
96,0.700836,1.49976,-0.733461
97,0.336908,1.45501,-0.585923
98,0.442205,1.44845,-0.615158
99,0.330335,1.46434,-0.56889
100,0.392693,1.38525,-0.569509
101,0.344006,1.45943,-0.548246
102,0.39412,1.42981,-0.559585
103,0.369227,1.46253,-0.545403
104,0.378587,1.44905,-0.508207
105,1.69561,1.13741,-0.998028
106,0.364477,1.44602,-0.492113
107,0.446031,1.44769,-0.523896
108,0.368571,1.4495,-0.486168
109,0.385453,1.44168,-0.468631
110,0.590374,1.44942,-0.52554
111,0.526416,1.48401,-0.50066
112,0.694929,1.46148,-0.543557
113,0.719638,1.47393,-0.525436
114,0.482276,1.43651,-0.400671
115,0.489112,1.44168,-0.399913
116,0.42395,1.43101,-0.367959
117,0.50407,1.46691,-0.392492
118,0.883965,1.20452,-0.514839
119,0.719906,1.45961,-0.441461
120,0.619916,1.54363,-0.406966
121,2.17872,1.20969,-0.999501
122,1.13047,1.10857,-0.561319
123,0.444217,1.43262,-0.300309
124,0.673584,1.47858,-0.386498
125,0.819053,1.4666,-0.418527
126,0.762489,1.43901,-0.3654
127,0.443583,1.42969,-0.236094
128,0.875612,1.15066,-0.38164
129,0.594571,1.49096,-0.20179
130,0.410413,1.54655,-0.0889457
131,1.59385,2.30297,-0.600202
132,0.971986,1.43047,-0.285519
133,0.440144,2.27263,-0.121338
134,0.440144,2.27263,-0.121337
135,1.01313,1.44632,-0.273985
136,0.546938,1.39999,-0.0673887
137,0.361277,1.47602,0.00858513
138,0.287735,1.26021,0.0742365
139,0.488945,1.38787,0.00883544
140,0.49702,1.3904,0.0117984
141,0.702681,1.4806,0.131172
142,1.40549,2.59181,-0.205899
143,0.556199,1.96331,0.229378
144,0.759271,1.54827,0.309779
145,0.767344,1.63652,0.32841
146,0.173586,1.68088,0.670572
147,1.0952,1.46627,0.442593
148,1.41861,1.52415,0.518485
149,1.25651,1.66489,0.697684
150,6.00272,-0.889886,-0.9608
151,7.6425,-1.41346,-1.56455
152,0.821864,1.49928,0.953225
153,-0.0276097,1.88592,1.5333
154,3.32151,2.7399,0.201597
155,0.921721,1.54273,1.32933
156,6.3691,5.66681,0.0257951
157,1.60037,2.6106,2.3682
158,5.52218,3.48272,0.835231
159,8.19685,6.75841,-0.352767
160,8.5011,6.78842,-0.296528
161,17.0703,12.5755,-3.96162
162,2.76685,1.7609,2.41847
163,3.73111,3.49932,1.97617
164,-6.58561,-5.4289,7.55684
165,4.88349,3.04516,2.52436
166,3.39931,2.69999,3.63033
167,6.16004,2.92243,2.85635
168,-10.5277,7.76753,9.43213
169,-23.9452,16.4976,16.5662
170,37.7953,34.6098,-8.74199
171,0.900592,2.26816,8.66235
172,-1.35262,5.37396,9.81319
173,17.3745,-1.01821,5.20075
174,-67.1597,41.0093,37.4793
175,15.4625,4.84843,7.2841
176,36.8354,-3.03006,0.860559
177,42.562,6.37888,-1.94012
178,38.5234,-2.58669,1.22627
179,2.16209,-0.463181,15.8177
180,61.5043,10.0226,-5.2943
181,24.8323,1.03366,10.9335
182,45.4372,3.06612,5.24239
183,4.15844,11.8637,22.2965
184,-7.3321,18.2986,29.8521
185,152.302,35.3902,-32.0102
186,90.3384,12.027,-4.33936
187,146.538,20.0998,-3.12481
188,85.2929,1.9062,33.2333
189,35.6055,-8.77355,66.4216
190,36.2114,-20.0515,81.8382
