No.,x,y,z
0,2.47441,-0.338447,1.46732
1,-49.0288,-17.3381,73.8221
2,2.37671,-0.622368,1.51685
3,2.0365,-0.630333,1.98741
4,2.38905,0.0166941,1.58139
5,2.32365,0.0812395,1.65749
6,2.40547,-0.345285,1.42693
7,1.74187,-1.15419,2.2413
8,2.51454,-0.224274,1.26825
9,2.71751,-0.118374,0.891273
10,2.9134,0.0913681,0.633527
11,2.37101,-0.620537,1.28632
12,3.17723,-0.329972,0.151653
13,2.66607,0.190598,0.969619
14,-6.38044,3.78364,14.839
15,3.04523,-0.482648,0.287979
16,2.67462,-0.302028,0.80289
17,3.35749,-0.639225,-0.25889
18,1.94389,-0.540891,1.77484
19,2.66214,0.0666011,0.682973
20,2.18254,-0.587378,1.21242
21,2.67148,-0.113814,0.557861
22,6.10611,1.25288,-4.24474
23,2.2126,-0.280149,1.17396
24,2.77848,0.149316,0.387893
25,1.32578,-1.61605,2.04333
26,2.40857,-0.226457,0.693281
27,2.72478,-0.0671218,0.234612
28,2.12991,-0.319436,1.02931
29,1.0747,-1.45306,2.2745
30,2.38018,-0.410656,0.503172
31,2.96762,-0.655382,-0.420892
32,1.25392,0.408739,2.24668
33,2.4379,-0.381314,0.35757
34,3.18385,-0.45565,-0.853428
35,1.96483,-0.723388,0.805782
36,2.04169,-0.732407,0.675794
37,2.36645,-0.0980712,0.302579
38,2.41642,-0.51566,0.154675
39,2.20554,0.176103,0.582203
40,2.03185,-0.37609,0.650805
41,2.39768,-0.573221,0.064013
42,-0.493837,-0.969076,4.15571
43,2.21391,-0.532141,0.209997
44,1.79353,-0.661749,0.790446
45,1.85187,-0.785894,0.601899
46,2.51853,-0.611375,-0.363615
47,1.86873,-0.43351,0.560302
48,2.19514,-0.214512,0.0447703
49,0.421556,-1.43519,2.42315
50,-16.2246,5.90259,28.0841
51,2.238,-0.157423,-0.0336576
52,2.12497,-0.58299,-0.122213
53,1.63412,-1.38971,0.414257
54,1.52496,-1.52952,0.382186
55,-4.65151,5.56681,10.6031
56,1.72721,-0.250432,0.208153
57,2.80086,-0.487649,-1.4082
58,1.78617,-0.24562,0.077817
59,2.51351,-0.961083,-1.19223
60,1.75261,-0.585105,-0.103063
61,1.46445,-1.13647,0.0531464
62,-0.313278,-1.31685,2.59117
63,3.05916,-2.6544,-2.68783
64,1.62715,-0.0327534,-0.155579
65,1.9043,0.0864429,-0.556145
66,1.8788,-0.307615,-0.650526
67,7.15241,-4.43718,-9.28051
68,5.05858,1.12019,-5.40794
69,1.35645,-0.197294,-0.244858
70,1.28043,-0.207531,-0.326323
71,1.46756,-0.841496,-0.885761
72,1.47258,-0.790765,-0.98774
73,1.53538,0.161447,-0.952563
74,0.819402,-0.83175,-0.0858418
75,1.40082,-0.54769,-1.05219
76,1.18086,-0.23995,-0.713491
77,1.04862,-0.322286,-0.542867
78,1.32285,-0.710947,-1.0434
79,2.3198,-0.653707,-2.52051
80,3.7006,-0.334629,-4.58032
81,0.913563,-0.720055,-0.613899
82,1.90644,-0.406803,-2.03021
83,2.48988,1.25407,-2.77023
84,1.4229,-1.20445,-1.64528
85,-1.5625,-1.75115,2.59177
86,0.676767,-0.916752,-0.618763
87,1.14859,-1.09376,-1.43172
88,-12.8817,4.47191,19.9994
89,-12.8817,4.47192,19.9994
90,0.712126,-1.43744,-0.964691
91,1.32034,0.0397274,-1.61666
92,1.24216,-0.153227,-1.63868
93,1.06668,-0.0592536,-1.51586
94,0.717481,0.209353,-1.06009
95,0.308971,-1.53734,-0.835621
96,-0.079615,-1.60574,-0.476195
97,-0.0796283,-1.60574,-0.476202
98,0.97024,-1.46786,-2.02406
99,1.21588,-0.111698,-2.17806
100,-46.5295,0.296611,67.7582
101,1.11466,-0.744587,-2.20936
102,0.487315,-0.0800101,-1.19109
103,17.7673,1.71433,-26.2072
104,0.775252,0.0737428,-1.66684
105,0.602164,-0.0719305,-1.53572
106,0.933662,-0.714111,-2.40886
107,0.813636,-0.138478,-2.2614
108,0.582033,0.00382396,-1.92563
