No.,x,y,z,scale_x,scale_y,scale_z,rot_x,rot_y,rot_z,rot_w,color_r,color_g,color_b,opacity,depth
0,-3.77226,-0.349359,-0.812926,0.0527747,0.0386333,3.07906e-05,0.972424,0.0811399,-0.178375,-0.126455,0.868261,0.959774,0.834153,0.035196,0.279543
1,-0.428494,0.841678,0.725192,0.0104038,0.0024428,0.000543494,0.756802,0.0670318,-0.642073,-0.102468,1.04046,1.07704,1.16007,0.0417482,0.289118
2,3.0022,-3.20646,-4.23235,0.0196732,0.0622619,0.0101858,0.0227396,0.347384,0.939073,0.13263,0.451933,0.845324,1.14163,0.01063,0.294039
3,-0.666899,-0.976473,-0.67654,0.0258024,0.000549775,0.0214024,0.0451566,-0.121065,0.332177,0.986053,0.531141,0.425552,0.551903,0.0189314,0.298328
4,-0.519024,-1.42426,-1.64247,0.00220137,0.000635447,0.0134099,0.021362,0.218838,0.120456,0.971502,0.998036,0.904124,1.32912,0.132724,0.306626
5,0.947069,2.55738,1.90449,0.000610953,0.0326004,0.00633156,0.946658,-0.149457,-0.268054,-0.0982245,1.10142,1.09295,0.782807,0.0377219,0.313006
6,0.719864,-0.785827,0.414646,0.0206174,0.00271201,0.000893258,0.839243,-0.0101241,-0.334241,-0.428778,1.30887,1.00849,0.766949,0.452664,0.318314
7,0.638668,-0.987158,-2.98573,0.00611489,0.000923739,0.0670325,-0.0355127,0.787385,-0.447282,-0.40428,0.585555,0.402611,0.849142,0.15159,0.32587
8,-0.686584,-1.24802,-1.18087,0.0100195,7.03324e-05,0.00015963,-0.092703,0.456077,0.893217,-0.186658,0,0,0.0508406,0.995884,0.327438
9,0.67641,0.534108,-0.0355608,0.00184875,0.000651508,0.00424707,0.119541,-0.0796855,0.885864,-0.143956,0.328233,0.287774,0.345851,0.0567037,0.331696
10,-1.55733,0.702833,-8.41552,0.0262977,0.0902193,0.145642,0.885403,-0.00518697,-0.220773,-0.409016,0.353923,0.630714,6.19608,0.172372,0.341336
11,7.16159,-0.428097,-0.904666,0.0167751,0.00106184,0.0206267,-0.063484,-0.0879206,0.0255351,0.932346,0.754767,0.794858,0.838556,0.0891681,0.34921
12,4.1942,-0.948539,2.53288,0.000464879,0.0462454,0.045844,0.0876861,0.0942491,0.015727,0.901494,1.17287,1.51128,1.56896,0.0459936,0.354971
13,0.810872,-0.283079,0.0232482,0.021764,0.00829554,0.000253044,0.340032,-0.323051,0.167598,0.993442,0.462594,0.478385,0.412313,0.0407448,0.363771
14,0.881603,0.753117,1.96905,0.000174352,0.0251701,0.000738625,-0.152046,-0.0161331,0.921734,0.29104,1.07472,0.982997,1.23857,0.0158357,0.376804
15,-0.0548238,1.55524,2.54209,0.0190464,0.000608779,0.00543157,-0.248993,-0.121701,-0.0636293,0.906875,0.598544,0.43905,0.0960207,0.0491978,0.380979
16,-0.0843021,-0.236886,-0.221933,0.00159106,0.0118546,0.0195141,0.0304957,0.0115076,0.637952,-0.0181097,0.113799,0.437428,0.655767,0.00391451,0.383319
17,0.509975,1.27469,1.7659,0.000543812,0.0036474,0.000378154,0.722152,-0.350218,0.240969,-0.54569,1.25502,1.01544,1.06418,0.0493608,0.388962
18,-1.48435,1.95004,0.0582203,0.00242493,0.0366737,0.00335712,-0.49524,0.0315397,0.936844,-0.253981,0.994775,0.969276,0.752908,0.0874361,0.392698
19,-1.32932,-0.193814,0.58718,0.000497757,0.0709002,0.0078005,0.0474718,-0.178298,0.97388,-0.146885,0.742071,2.59661e-42,11.2979,0.103649,0.394652
20,-0.770922,0.959399,1.11937,7.67427e-05,0.0136562,0.00144199,0.925113,-0.204891,-0.00940714,0.319527,0.749569,0.914397,1.09376,0.00389933,0.397835
21,0.26825,0.627998,-0.490407,0.00447687,0.000157515,0.0119268,0.229251,0.0359344,0.487724,0.863647,0.482583,0.389825,0.402131,0.0161945,0.400874
22,11.6164,43.5177,-49.664,0.00101259,0.297854,0.174272,0.912636,0.357388,-0.0488449,0.19231,0.778615,2.59941e-42,7.11389,0.00392141,0.401084
23,1.13202,-0.661896,0.871988,0.000684465,0.00766675,7.36576e-05,0.588506,0.208942,0.777693,-0.0721018,1.13352,0.66153,0.71143,0.053263,0.40351
24,-1.62442,0.652612,-1.53481,0.000105202,0.00184606,0.00298134,0.0350032,0.809449,-0.00814342,-0.57516,0.550512,0.523397,0.548339,0.00963075,0.40445
25,-1.69159,-0.125764,0.0602885,0.00164288,0.00899033,0.00044083,-0.277498,0.17986,0.963769,-0.0366993,0.577228,0.643894,0.654351,0.0197405,0.409969
26,13.6886,0.16102,5.36665,0.000779721,0.0720734,0.00158409,0.944834,-0.0741377,-0.105506,-0.301099,4.42588,2.57419e-42,4.42736,0.033012,0.414667
27,-0.283059,-1.76215,-3.31714,0.00503275,0.000948058,0.000579839,0.0129776,0.991995,-0.0539431,0.0784044,0.348605,0.309416,0.154884,0.272139,0.417379
28,-7.10309,0.656906,1.08172,0.00417507,0.000570081,0.0174137,0.729818,-0.240087,-0.400114,0.499632,0.17607,0,0,0.00391326,0.4181
29,2.18518,-4.33802,0.81164,0.0219556,0.0188901,0.00110354,-0.0432561,0.0685725,-0.460512,0.993759,0.326957,1.07307,0.990609,0.00551897,0.42151
30,-0.423313,1.00223,-1.80535,0.0226985,0.00133146,0.0153829,0.030004,0.958789,0.0679489,-0.260962,0.943992,0.840063,0.105875,0.0381614,0.427175
31,-25.7266,-61.1256,65.3812,0.0323108,0.0242045,0.00440984,-0.314963,-0.127075,-0.162458,0.980037,2.60081e-42,6.29797,2.60081e-42,0.0200898,0.431837
32,-0.869152,0.968129,0.393234,0.00609783,0.00418568,0.00860788,-0.0611901,-0.0211657,0.958321,0.137714,0,1.0941,1.03956,0.0382476,0.436958
33,-2.29198,-0.367245,0.756775,0.0350759,0.0239306,0.00978543,0.903002,-0.0605884,0.411379,0.108094,6.11408,0.0309773,0.00719786,0.714488,0.439123
34,0.0465666,-0.276622,0.0178667,0.00391695,0.0183424,0.0200184,-0.121979,0.93887,0.0195269,0.187189,0.432798,0.719401,0.685372,0.00391263,0.440078
35,-0.21405,2.12481,0.0393358,0.0181849,0.00018066,0.00629196,0.740212,-0.396959,0.39071,-0.376637,1.11951,0.325062,0.264742,0.0237244,0.442806
36,-0.0224948,-1.73602,-0.145586,0.00141274,0.00148043,0.0190319,0.935675,-0.14175,0.262061,0.189059,0.30747,0.618307,0.724156,0.333678,0.443076
37,0.298136,-4.1248,0.842875,0.00140086,0.0381364,0.000525487,0.302868,-0.349568,0.0576007,0.971952,1.48076,1.3916,1.38736,0.613765,0.448077
38,1.34058,0.924758,0.731707,0.000850671,0.00878304,0.000638217,0.0176446,0.00411846,0.970675,-0.0217701,0.586974,0.899484,0.861987,0.100234,0.449105
39,-67.3241,66.4318,-38.2689,0.0766861,0.105062,0.0451836,-0.151363,-0.63968,-0.654973,0.934971,2.61202e-42,0.799464,2.61202e-42,0.0395581,0.458713
40,-12.2447,-2.89527,7.60543,0.0411214,0.155577,0.403719,0.0854624,0.113861,0.951732,0.0291069,0.731071,0.864502,0.378572,0.116791,0.459295
41,2.37145,0.551971,2.09897,0.00107566,0.0422585,0.025999,0.0546803,0.974875,-0.0308688,-0.211077,0.74798,0.715723,0.880695,0.043745,0.460188
42,-0.867188,2.29188,1.04523,0.00121735,0.0118144,0.00542058,0.00787645,0.961117,-0.243484,-0.0265831,0.795112,0,0,0.00572729,0.461207
43,-5.47278,1.23052,2.41288,0.000548268,0.000222065,0.0787635,-0.0101444,0.993466,-0.0406152,0.105372,1.0233,1.01176,0.942654,0.0443019,0.462401
44,0.47726,1.52982,-2.62952,0.0140799,0.00114029,0.0210031,0.954431,-0.230631,0.13374,0.134105,0.381664,0.334896,1.22946,0.0130727,0.465587
45,0.207365,-1.32814,0.887079,0.0016511,0.061453,0.00366895,-0.0376194,-0.203895,-0.0316748,0.971841,0,0.408688,0.361357,0.0381082,0.46894
46,-3.14992,2.93563,10.3181,0.00126678,0.0737765,0.0218063,-0.163687,-0.110758,0.990487,-0.016586,0.487347,0.35466,1.00916,0.0616476,0.472155
47,-1.05291,-2.80628,3.6807,0.00969995,0.00164953,0.0344156,0.974224,-0.0795113,-0.0991551,-0.186371,4.36991,2.46068e-42,0.840094,0.0787609,0.472486
