No.,x,y,z
0,0.899317,1.06328,3.86252
1,2.04152,-1.85352,-3.8707
2,-2.78271,23.9886,-6.17706
3,1.24476,1.42164,1.27042
4,0.963493,2.90287,1.5409
5,1.03207,2.87471,2.25489
6,1.61772,-0.141471,2.54055
7,1.43186,2.35074,1.47259
8,1.34287,3.30795,0.733778
9,1.44074,2.79134,1.02357
10,1.6483,2.56504,1.52041
11,1.68996,2.34125,2.0598
12,1.97816,1.3186,0.907438
13,1.95854,2.59473,0.491023
14,2.14988,0.431007,3.72437
15,2.19377,0.707756,2.56006
16,2.48165,0.653614,0.31649
17,1.2436,6.65711,1.29094
18,1.97765,3.07463,1.19872
19,1.43971,5.63136,2.19632
20,2.16593,3.33312,1.01575
21,2.59558,1.02084,2.01759
22,2.29406,3.51623,-0.35703
23,2.39852,2.9185,0.515181
24,2.6304,2.62869,1.19722
25,2.71761,3.01348,0.42211
26,3.63613,-0.372116,-3.05497
27,3.27189,0.446365,-0.183568
28,3.05741,1.01739,1.71194
29,2.96153,1.53762,1.99071
30,2.84797,2.36796,1.54705
31,2.74022,3.25429,1.22266
32,3.88185,-2.14536,0.125017
33,2.99347,2.41385,1.55193
34,3.08089,2.19612,2.06035
35,2.99798,2.78533,1.86472
36,3.23348,2.37788,0.753838
37,3.35845,2.01922,0.182518
38,3.24202,2.26638,1.12937
39,3.29876,2.10453,1.33622
40,3.27151,2.34731,1.08007
41,2.448,6.97757,0.0898062
42,2.76007,4.35944,3.32338
43,3.33472,1.60026,3.23769
44,3.30142,2.75919,0.701215
45,3.36238,2.22535,1.35894
46,3.21523,2.9607,1.58493
47,3.65967,0.875342,1.31844
48,3.31605,2.61119,1.72554
49,3.43219,2.29948,1.28772
50,3.35797,2.81431,0.951912
51,3.457,2.44056,0.780739
52,3.63099,1.95284,0.25451
53,3.51563,2.15313,1.38344
54,3.50355,2.35065,1.06034
55,3.54771,2.23142,1.25534
56,3.12746,3.4962,3.84164
57,3.37668,3.28613,0.961931
58,3.16762,3.37221,3.99482
59,3.59591,2.1397,1.45965
60,3.61781,2.24354,1.01533
61,3.65887,2.25517,1.01877
62,3.64471,2.35199,1.01309
63,3.6341,2.32322,1.28189
64,3.70897,2.31844,1.02905
65,3.68297,2.36994,1.26879
66,3.68297,2.36994,1.26879
67,3.7213,2.24656,1.15526
68,3.75285,2.25286,1.13476
69,3.78012,2.09217,1.20476
70,3.77054,2.18778,1.09802
71,3.84232,1.41645,2.23969
72,3.77191,2.1962,1.14731
73,3.76256,2.25727,1.22507
74,3.77351,2.22146,1.18372
75,3.76931,2.20851,1.3607
76,4.44237,0.943753,-4.35715
77,3.82201,2.10301,1.13705
78,3.69962,2.60212,1.50739
79,3.79991,2.20433,1.23932
80,3.79638,2.23205,1.22294
81,3.77905,2.39356,1.2093
